kHz;mV
1.43647194;0.00210196
1.4424324;0.00165676
1.44839287;0.00116329
1.45435333;0.0003771
1.4603138;0.00064315
1.46627426;0.00125766
1.47223473;0.00198023
1.47819519;0.00228888
1.48415565;0.00217402
1.49011612;0.00152889
1.49607658;0.00046727
1.50203705;0.00068776
1.50799751;0.00154624
1.51395798;0.00224033
1.51991844;0.0024243
1.52587891;0.00234084
1.53183937;0.00179027
1.53779984;0.00109336
1.5437603;0.00028414
1.54972076;0.00094775
1.55568123;0.00198845
1.56164169;0.00287105
1.56760216;0.00318999
1.57356262;0.00263632
1.57952309;0.00191758
1.58548355;0.00069149
1.59144402;0.00084768
1.59740448;0.00201997
1.60336494;0.00307128
1.60932541;0.00327419
1.61528587;0.00284926
1.62124634;0.00222769
1.6272068;0.000806
1.63316727;0.00079578
1.63912773;0.0026198
1.6450882;0.00437952
1.65104866;0.00471753
1.65700912;0.00467579
1.66296959;0.0039622
1.66893005;0.00197157
1.67489052;0.00054013
1.68085098;0.0005828
1.68681145;0.0012568
1.69277191;0.00151132
1.69873238;0.00173894
1.70469284;0.00153921
1.71065331;0.00093046
1.71661377;0.00019279
1.72257423;0.00100272
1.7285347;0.00170808
1.73449516;0.00212742
1.74045563;0.00239959
1.74641609;0.00197006
1.75237656;0.00127967
1.75833702;0.00035285
1.76429749;0.00078297
1.77025795;0.00143295
1.77621841;0.00189922
1.78217888;0.00208838
1.78813934;0.00168022
1.79409981;0.00117492
1.80006027;0.00055407
1.80602074;0.00089254
1.8119812;0.00151552
1.81794167;0.00229182
1.82390213;0.00271016
1.82986259;0.002601
1.83582306;0.00192923
1.84178352;0.00079332
1.84774399;0.00048131
1.85370445;0.00130225
1.85966492;0.00209593
1.86562538;0.00242275
1.87158585;0.00243093
1.87754631;0.00201417
1.88350677;0.00142915
1.88946724;0.0007423
1.8954277;0.00046349
1.90138817;0.00137509
1.90734863;0.0022107
1.9133091;0.00268197
1.91926956;0.00234682
1.92523003;0.00184768
1.93119049;0.00108088
1.93715096;0.00060365
1.94311142;0.00167059
1.94907188;0.00298726
1.95503235;0.00345725
1.96099281;0.0033342
1.96695328;0.00291103
1.97291374;0.00186916
1.97887421;0.00754464
1.98483467;0.04385731
1.99079514;0.09564619
1.9967556;0.1140562
2.00271606;0.1143793
2.00867653;0.0998949
2.01463699;0.050053
2.02059746;0.00979557
2.02655792;0.00143433
2.03251839;0.00177344
2.03847885;0.00207731
2.04443932;0.00220872
2.05039978;0.00206302
2.05636024;0.00124015
2.06232071;0.00050141
2.06828117;0.00072903
2.07424164;0.00151079
2.0802021;0.00197357
2.08616257;0.00223295
2.09212303;0.00184398
2.0980835;0.001138
2.10404396;0.00035859
2.11000443;0.00073251
2.11596489;0.00133929
2.12192535;0.00187051
2.12788582;0.00230506
2.13384628;0.00215526
2.13980675;0.00171281
2.14576721;0.00092012
2.15172768;0.00024708
2.15768814;0.00084851
2.16364861;0.00162771
2.16960907;0.00212898
2.17556953;0.00227339
2.18153;0.00200932
2.18749046;0.00124735
2.19345093;0.00055142
2.19941139;0.00074678
2.20537186;0.00171021
2.21133232;0.00231895
2.21729279;0.00276782
2.22325325;0.00256397
2.22921371;0.00191592
2.23517418;0.00119461
2.24113464;0.00009381
2.24709511;0.00136698
2.25305557;0.00241067
2.25901604;0.00308759
2.2649765;0.00271991
2.27093697;0.002095
2.27689743;0.00116348
2.28285789;0.00030384
2.28881836;0.0015444
2.29477882;0.00299362
2.30073929;0.00389191
2.30669975;0.00377029
2.31266022;0.00359529
