MHz;V
0.29792786;0.00011412
0.29830933;0.00011141
0.2986908;0.00010426
0.29907227;0.00012301
0.29945374;0.00013007
0.29983521;0.00012636
0.30021667;0.00009016
0.30059814;0.00004986
0.30097961;0.00002736
0.30136108;0.00002992
0.30174255;0.00005926
0.30212402;0.0000802
0.30250549;0.00008815
0.30288696;0.00006667
0.30326843;0.0000392
0.3036499;0.00007243
0.30403137;0.00008844
0.30441284;0.00006383
0.30479431;0.00006712
0.30517578;0.00013593
0.30555725;0.00020149
0.30593872;0.0002446
0.30632019;0.00024649
0.30670166;0.00023123
0.30708313;0.00018041
0.3074646;0.00011493
0.30784607;0.00004494
0.30822754;0.00005841
0.30860901;0.00011952
0.30899048;0.00016826
0.30937195;0.00018613
0.30975342;0.0001553
0.31013489;0.00009806
0.31051636;0.00009196
0.31089783;0.00011104
0.3112793;0.00013861
0.31166077;0.0001503
0.31204224;0.00012851
0.31242371;0.00012326
0.31280518;0.00008635
0.31318665;0.00005481
0.31356812;0.00006612
0.31394958;0.00013384
0.31433105;0.00019137
0.31471252;0.0001974
0.31509399;0.00016334
0.31547546;0.0000863
0.31585693;0.00006568
0.3162384;0.00005193
0.31661987;0.00004974
0.31700134;0.0000923
0.31738281;0.00015631
0.31776428;0.00020093
0.31814575;0.00021477
0.31852722;0.00017604
0.31890869;0.0001597
0.31929016;0.00015494
0.31967163;0.00016871
0.3200531;0.00016374
0.32043457;0.00014779
0.32081604;0.00010128
0.32119751;0.00013059
0.32157898;0.00016268
0.32196045;0.0001894
0.32234192;0.00016827
0.32272339;0.00010036
0.32310486;0.00000431
0.32348633;0.00004465
0.3238678;0.00004578
0.32424927;0.00001668
0.32463074;0.00006735
0.32501221;0.00013485
0.32539368;0.00011922
0.32577515;0.00011108
0.32615662;0.00009687
0.32653809;0.00009105
0.32691956;0.00005916
0.32730103;0.00005274
0.3276825;0.00005644
0.32806396;0.00009653
0.32844543;0.00015095
0.3288269;0.00011355
0.32920837;0.00007031
0.32958984;0.00007664
0.32997131;0.00005077
0.33035278;0.00013299
0.33073425;0.00016756
0.33111572;0.00071202
0.33149719;0.00275293
0.33187866;0.00299234
0.33226013;0.02635585
0.3326416;0.0892207
0.33302307;0.1231699
0.33340454;0.1251417
0.33378601;0.1187667
0.33416748;0.06987604
0.33454895;0.01266287
0.33493042;0.00385618
0.33531189;0.00199875
0.33569336;0.00058456
0.33607483;0.00016549
0.3364563;0.00007267
0.33683777;0.00008456
0.33721924;0.00006061
0.33760071;0.00006938
0.33798218;0.00011237
0.33836365;0.00008664
0.33874512;0.00003606
0.33912659;0.00003653
0.33950806;0.0000802
0.33988953;0.00010034
0.340271;0.00011071
0.34065247;0.00011458
0.34103394;0.0001173
0.34141541;0.00013621
0.34179688;0.00011477
0.34217834;0.00005045
0.34255981;0.00001961
0.34294128;0.00003017
0.34332275;0.00002125
0.34370422;0.00005241
0.34408569;0.00014577
0.34446716;0.00018924
0.34484863;0.00018468
0.3452301;0.00015772
0.34561157;0.00011682
0.34599304;0.00010811
0.34637451;0.00014246
0.34675598;0.0001447
0.34713745;0.00012686
0.34751892;0.00012249
0.34790039;0.00012986
0.34828186;0.00015861
0.34866333;0.0001845
0.3490448;0.00015293
0.34942627;0.00010932
0.34980774;0.00005107
0.35018921;0.00002734
0.35057068;0.00004941
0.35095215;0.00005551
0.35133362;0.00009617
0.35171509;0.00016962
0.35209656;0.00019461
0.35247803;0.00018232
0.3528595;0.00012704
0.35324097;0.00006758
0.35362244;0.000056
0.35400391;0.0000903
0.35438538;0.00011904
0.35476685;0.00013578
0.35514832;0.00015837
0.35552979;0.00014071
0.35591125;0.00011427
0.35629272;0.00009717
0.35667419;0.00011375
0.35705566;0.00016939
0.35743713;0.00018529
0.3578186;0.00016097
0.35820007;0.00011188
0.35858154;0.00003907
0.35896301;0.00007248
0.35934448;0.00015117
0.35972595;0.00021998
0.36010742;0.00025878
0.36048889;0.00026611
0.36087036;0.00024961
0.36125183;0.00018958
0.3616333;0.00011435
0.36201477;0.00004791
0.36239624;0.00007948
0.36277771;0.00008599
0.36315918;0.00005581
0.36354065;0.00005124
0.36392212;0.00009482
0.36430359;0.00010803
0.36468506;0.00009357
0.36506653;0.00006586
0.365448;0.00004284
0.36582947;0.00004394
0.36621094;0.00007228
0.36659241;0.0001107
0.36697388;0.00014185
0.36735535;0.00014458
0.36773682;0.00012671
0.36811829;0.00009619
0.36849976;0.00010449
0.36888123;0.00010161
0.3692627;0.0000984
0.36964417;0.0000804
0.37002563;0.00005447
0.3704071;0.00005335
0.37078857;0.00007019
0.37117004;0.00004944
0.37155151;0.00006887
0.37193298;0.00012046
0.37231445;0.00011691
0.37269592;0.00008457
0.37307739;0.00005153
0.37345886;0.00006385
0.37384033;0.00008975
0.3742218;0.00007591
0.37460327;0.00010376
0.37498474;0.00012544
0.37536621;0.00013552
0.37574768;0.00012403
0.37612915;0.00009007
0.37651062;0.0000891
0.37689209;0.00012145
0.37727356;0.00013467
0.37765503;0.00011201
0.3780365;0.00007585
0.37841797;0.00004531
0.37879944;0.00002716
0.37918091;0.00002469
0.37956238;0.00006534
0.37994385;0.0000985
0.38032532;0.00010586
0.38070679;0.00010383
0.38108826;0.00007153
0.38146973;0.00003936
0.3818512;0.00003372
0.38223267;0.00000289
0.38261414;0.00005401
0.38299561;0.00009468
0.38337708;0.00010561
0.38375854;0.00009595
0.38414001;0.00008044
0.38452148;0.00007468
0.38490295;0.00005672
0.38528442;0.00004492
0.38566589;0.00006494
0.38604736;0.00007094
0.38642883;0.00005622
0.3868103;0.00004667
0.38719177;0.00004545
0.38757324;0.00006517
0.38795471;0.0000463
0.38833618;0.00004772
0.38871765;0.00008342
0.38909912;0.00009713
0.38948059;0.00007422
0.38986206;0.00001859
0.39024353;0.00003204
0.390625;0.00004297
0.39100647;0.00006935
0.39138794;0.00011579
0.39176941;0.00012867
0.39215088;0.00009969
0.39253235;0.0000645
0.39291382;0.00003263
0.39329529;0.00002056
0.39367676;0.00002695
0.39405823;0.00002476
0.3944397;0.00003322
0.39482117;0.00003034
0.39520264;0.0000194
0.39558411;0.00001177
0.39596558;0.00002707
0.39634705;0.00004333
0.39672852;0.00007894
0.39710999;0.0001062
0.39749146;0.00007543
0.39787292;0.00003272
0.39825439;0.00003654
0.39863586;0.00005578
0.39901733;0.00005239
0.3993988;0.00005073
0.39978027;0.00006015
0.40016174;0.00008234
0.40054321;0.00013117
0.40092468;0.00014217
0.40130615;0.00013802
0.40168762;0.00012896
0.40206909;0.00006724
0.40245056;0.00003899
0.40283203;0.00008841
0.4032135;0.00010572
0.40359497;0.00008008
0.40397644;0.00003565
0.40435791;0.00006902
0.40473938;0.00014256
0.40512085;0.00019404
0.40550232;0.00022845
0.40588379;0.0002209
0.40626526;0.00018004
0.40664673;0.00013189
0.4070282;0.00009653
0.40740967;0.00010734
0.40779114;0.00011324
0.40817261;0.0001259
0.40855408;0.00013979
0.40893555;0.00010348
0.40931702;0.00003597
0.40969849;0.0000778
0.41007996;0.00011514
0.41046143;0.00013248
0.4108429;0.00011571
0.41122437;0.00006244
0.41160583;0.00006199
0.4119873;0.0001029
0.41236877;0.00011713
0.41275024;0.00012878
0.41313171;0.00014573
0.41351318;0.00011581
0.41389465;0.00004502
0.41427612;0.00035277
0.41465759;0.00147728
0.41503906;0.00482553
0.41542053;0.01088861
0.415802;0.01543653
0.41618347;0.01785307
0.41656494;0.01909888
0.41694641;0.01685785
0.41732788;0.01256207
0.41770935;0.00898377
0.41809082;0.00621221
0.41847229;0.00336026
0.41885376;0.00106271
0.41923523;0.00021842
0.4196167;0.00008507
0.41999817;0.00010958
0.42037964;0.00009549
0.42076111;0.00011386
0.42114258;0.00013544
0.42152405;0.00014695
0.42190552;0.00017418
0.42228699;0.00018619
0.42266846;0.0001562
0.42304993;0.00009241
0.4234314;0.00003022
0.42381287;0.00002292
0.42419434;0.00005522
0.42457581;0.00004396
0.42495728;0.00001838
0.42533875;0.0000251
0.42572021;0.00006714
0.42610168;0.00010551
0.42648315;0.00011136
0.42686462;0.00011735
0.42724609;0.00013535
0.42762756;0.00013476
0.42800903;0.00013884
0.4283905;0.00017646
0.42877197;0.00018998
0.42915344;0.00013924
0.42953491;0.00009349
0.42991638;0.00006235
0.43029785;0.00005393
0.43067932;0.00003995
0.43106079;0.00003879
0.43144226;0.00006714
0.43182373;0.00007826
0.4322052;0.0000809
0.43258667;0.00007731
0.43296814;0.00002096
0.43334961;0.00003837
0.43373108;0.00005515
0.43411255;0.0000751
0.43449402;0.00010809
0.43487549;0.00012069
0.43525696;0.00010713
0.43563843;0.00007573
0.4360199;0.00006621
0.43640137;0.00008208
0.43678284;0.00010842
0.43716431;0.00011183
0.43754578;0.00011321
0.43792725;0.00013309
0.43830872;0.00014991
0.43869019;0.00015645
0.43907166;0.00015367
0.43945313;0.00013339
0.43983459;0.0001099
0.44021606;0.0000829
0.44059753;0.00007701
0.440979;0.00010434
0.44136047;0.00012443
0.44174194;0.00012458
0.44212341;0.00009431
0.44250488;0.00002354
0.44288635;0.00005784
0.44326782;0.00009556
0.44364929;0.00006442
0.44403076;0.00001533
0.44441223;0.00002704
0.4447937;0.00007458
