MHz;mV
0.1247406;0.00565116
0.12512207;0.00467656
0.12550354;0.01000651
0.12588501;0.01267627
0.12626648;0.01645671
0.12664795;0.01476589
0.12702942;0.0081472
0.12741089;0.00344647
0.12779236;0.00871426
0.12817383;0.01341936
0.1285553;0.02015746
0.12893677;0.02557033
0.12931824;0.0260568
0.12969971;0.01566979
0.13008118;0.00539152
0.13046265;0.01271547
0.13084412;0.02180421
0.13122559;0.02728385
0.13160706;0.02730802
0.13198853;0.02450587
0.13237;0.01862178
0.13275146;0.01307831
0.13313293;0.00922022
0.1335144;0.01061919
0.13389587;0.0113198
0.13427734;0.00940928
0.13465881;0.00990244
0.13504028;0.01159438
0.13542175;0.0076367
0.13580322;0.00786021
0.13618469;0.01130386
0.13656616;0.01303872
0.13694763;0.01148879
0.1373291;0.00982055
0.13771057;0.0120532
0.13809204;0.01517029
0.13847351;0.0151968
0.13885498;0.00885317
0.13923645;0.00713078
0.13961792;0.01032948
0.13999939;0.01025601
0.14038086;0.01387634
0.14076233;0.01412195
0.1411438;0.01381088
0.14152527;0.01567946
0.14190674;0.01870829
0.14228821;0.019402
0.14266968;0.01991588
0.14305115;0.02069285
0.14343262;0.02082655
0.14381409;0.02133627
0.14419556;0.02292404
0.14457703;0.02503207
0.1449585;0.02970527
0.14533997;0.02808857
0.14572144;0.0173156
0.14610291;0.00739424
0.14648438;0.00118347
0.14686584;0.0037098
0.14724731;0.00490837
0.14762878;0.00392689
0.14801025;0.00658412
0.14839172;0.00962619
0.14877319;0.01516385
0.14915466;0.0192421
0.14953613;0.01759592
0.1499176;0.01319305
0.15029907;0.00934329
0.15068054;0.00763997
0.15106201;0.00834034
0.15144348;0.00682203
0.15182495;0.0043817
0.15220642;0.0016888
0.15258789;0.00531202
0.15296936;0.0090701
0.15335083;0.01089003
0.1537323;0.01330441
0.15411377;0.01588843
0.15449524;0.01332644
0.15487671;0.00974201
0.15525818;0.0078193
0.15563965;0.00550241
0.15602112;0.00192825
0.15640259;0.00794061
0.15678406;0.00844873
0.15716553;0.00259521
0.157547;0.00687457
0.15792847;0.01562531
0.15830994;0.01619923
0.15869141;0.01021337
0.15907288;0.00356211
0.15945435;0.00110454
0.15983582;0.00329446
0.16021729;0.00476542
0.16059875;0.00583753
0.16098022;0.0079335
0.16136169;0.01112804
0.16174316;0.01577583
0.16212463;0.01423468
0.1625061;0.00974946
0.16288757;0.00778633
0.16326904;0.00749982
0.16365051;0.00953501
0.16403198;0.01746201
0.16441345;0.02141308
0.16479492;0.02240008
0.16517639;0.00420412
0.16555786;0.03942503
0.16593933;0.05925893
0.1663208;0.05043511
0.16670227;0.04229878
0.16708374;0.01953534
0.16746521;0.02457449
0.16784668;0.01874345
0.16822815;0.00481968
0.16860962;0.01323961
0.16899109;0.00990744
0.16937256;0.00792294
0.16975403;0.00905761
0.1701355;0.00972346
0.17051697;0.01323182
0.17089844;0.01729257
