us;mV
-3.88282164;37.22648
-3.87782164;36.17664
-3.87282164;36.31092
-3.86782164;36.17664
-3.86282164;36.31092
-3.85782164;36.17664
-3.85282164;36.31092
-3.84782164;36.17664
-3.84282164;36.31092
-3.83782164;36.17664
-3.83282164;36.31092
-3.82782164;36.17664
-3.82282164;36.31092
-3.81782164;35.26719
-3.81282164;36.31092
-3.80782164;35.26719
-3.80282164;36.31092
-3.79782164;35.26719
-3.79282164;35.39842
-3.78782164;35.26719
-3.78282164;35.39842
-3.77782164;35.26719
-3.77282164;35.39842
-3.76782164;35.26719
-3.76282164;34.48592
-3.75782164;35.26719
-3.75282164;34.48592
-3.74782164;34.35773
-3.74282164;34.48592
-3.73782164;33.44828
-3.73282164;34.48592
-3.72782164;34.35773
-3.72282164;34.48592
-3.71782164;33.44828
-3.71282164;34.48592
-3.70782164;34.35773
-3.70282164;34.48592
-3.69782164;34.35773
-3.69282164;34.48592
-3.68782164;33.44828
-3.68282164;34.48592
-3.67782164;33.44828
-3.67282164;33.57341
-3.66782164;33.44828
-3.66282164;32.66091
-3.65782164;33.44828
-3.65282164;32.66091
-3.64782164;32.53883
-3.64282164;32.66091
-3.63782164;33.44828
-3.63282164;32.66091
-3.62782164;32.53883
-3.62282164;32.66091
-3.61782164;32.53883
-3.61282164;32.66091
-3.60782164;32.53883
-3.60282164;32.66091
-3.59782164;32.53883
-3.59282164;32.66091
-3.58782164;32.53883
-3.58282164;32.66091
-3.57782164;32.53883
-3.57282164;31.74841
-3.56782164;31.62633
-3.56282164;31.74841
-3.55782164;31.62633
-3.55282164;31.74841
-3.54782164;31.62633
-3.54282164;31.74841
-3.53782164;31.62633
-3.53282164;30.8359
-3.52782164;31.62633
-3.52282164;30.8359
-3.51782164;31.62633
-3.51282164;30.8359
-3.50782164;30.71688
-3.50282164;30.8359
-3.49782164;30.71688
-3.49282164;30.8359
-3.48782164;30.71688
-3.48282164;30.8359
-3.47782164;29.80743
-3.47282164;30.8359
-3.46782164;30.71688
-3.46282164;30.8359
-3.45782164;29.80743
-3.45282164;30.8359
-3.44782164;29.80743
-3.44282164;30.8359
-3.43782164;29.80743
-3.43282164;30.8359
-3.42782164;29.80743
-3.42282164;29.9234
-3.41782164;29.80743
-3.41282164;29.01089
-3.40782164;29.80743
-3.40282164;29.01089
-3.39782164;28.89797
-3.39282164;29.01089
-3.38782164;28.89797
-3.38282164;29.01089
-3.37782164;28.89797
-3.37282164;29.01089
-3.36782164;28.89797
-3.36282164;29.01089
-3.35782164;28.89797
-3.35282164;29.01089
-3.34782164;28.89797
-3.34282164;29.01089
-3.33782164;28.89797
-3.33282164;29.01089
-3.32782164;28.89797
-3.32282164;29.01089
-3.31782164;28.89797
-3.31282164;29.01089
-3.30782164;27.98852
-3.30282164;29.01089
-3.29782164;27.98852
-3.29282164;29.01089
-3.28782164;27.98852
-3.28282164;27.18589
-3.27782164;27.98852
-3.27282164;28.09839
-3.26782164;27.98852
-3.26282164;27.18589
-3.25782164;27.98852
-3.25282164;27.18589
-3.24782164;27.98852
-3.24282164;27.18589
-3.23782164;27.07907
-3.23282164;27.18589
-3.22782164;27.07907
-3.22282164;27.18589
-3.21782164;27.07907
-3.21282164;27.18589
-3.20782164;27.07907
-3.20282164;27.18589
-3.19782164;26.16962
-3.19282164;27.18589
-3.18782164;27.07907
-3.18282164;27.18589
-3.17782164;26.16962
-3.17282164;27.18589
-3.16782164;26.16962
-3.16282164;26.27033
-3.15782164;26.16962
-3.15282164;26.27033
-3.14782164;26.16962
-3.14282164;26.27033
-3.13782164;25.26017
-3.13282164;25.35783
-3.12782164;25.26017
-3.12282164;25.35783
-3.11782164;25.26017
-3.11282164;25.35783
-3.10782164;25.26017
-3.10282164;25.35783
-3.09782164;25.26017
-3.09282164;25.35783
-3.08782164;25.26017
-3.08282164;25.35783
-3.07782164;25.26017
-3.07282164;25.35783
-3.06782164;25.26017
-3.06282164;25.35783
-3.05782164;25.26017
-3.05282164;25.35783
-3.04782164;25.26017
-3.04282164;25.35783
-3.03782164;24.35072
-3.03282164;24.44533
-3.02782164;24.35072
-3.02282164;24.44533
-3.01782165;24.35072
-3.01282165;24.44533
-3.00782165;24.35072
-3.00282165;23.53282
-2.99782165;24.35072
-2.99282165;23.53282
-2.98782165;23.44127
-2.98282165;24.44533
-2.97782165;23.44127
-2.97282165;23.53282
-2.96782165;23.44127
-2.96282165;23.53282
-2.95782165;23.44127
-2.95282165;23.53282
-2.94782165;23.44127
-2.94282165;23.53282
-2.93782165;23.44127
-2.93282165;23.53282
-2.92782165;23.44127
-2.92282165;23.53282
-2.91782165;23.44127
-2.91282165;22.62032
-2.90782165;22.52876
-2.90282165;23.53282
-2.89782165;22.52876
-2.89282165;23.53282
-2.88782165;22.52876
-2.88282165;22.62032
-2.87782165;22.52876
-2.87282165;22.62032
-2.86782165;21.61931
-2.86282165;21.70782
-2.85782165;22.52876
-2.85282165;22.62032
-2.84782165;21.61931
-2.84282165;22.62032
-2.83782165;21.61931
-2.83282165;21.70782
-2.82782165;21.61931
-2.82282165;21.70782
-2.81782165;21.61931
-2.81282165;21.70782
-2.80782165;21.61931
-2.80282165;21.70782
-2.79782165;21.61931
-2.79282165;21.70782
-2.78782165;21.61931
-2.78282165;21.70782
-2.77782165;21.61931
-2.77282165;21.70782
-2.76782165;21.61931
-2.76282165;21.70782
-2.75782165;21.61931
-2.75282165;21.70782
-2.74782165;20.70986
-2.74282165;20.79531
-2.73782165;21.61931
-2.73282165;20.79531
-2.72782165;20.70986
-2.72282165;19.88281
-2.71782165;20.70986
-2.71282165;20.79531
-2.70782165;20.70986
-2.70282165;20.79531
-2.69782165;20.70986
-2.69282165;19.88281
-2.68782165;20.70986
-2.68282165;19.88281
-2.67782165;20.70986
-2.67282165;19.88281
-2.66782165;19.80041
-2.66282165;19.88281
-2.65782165;19.80041
-2.65282165;19.88281
-2.64782165;19.80041
-2.64282165;19.88281
-2.63782165;19.80041
-2.63282165;19.88281
-2.62782165;19.80041
-2.62282165;19.88281
-2.61782165;19.80041
-2.61282165;19.88281
-2.60782165;18.89096
-2.60282165;19.88281
-2.59782165;18.89096
-2.59282165;19.88281
-2.58782165;18.89096
-2.58282165;19.88281
-2.57782165;18.89096
-2.57282165;18.9703
-2.56782165;19.80041
-2.56282165;18.9703
-2.55782165;18.89096
-2.55282165;18.9703
-2.54782165;18.89096
-2.54282165;18.9703
-2.53782165;17.98151
-2.53282165;18.9703
-2.52782165;18.89096
-2.52282165;18.9703
-2.51782165;17.98151
-2.51282165;18.0578
-2.50782165;17.98151
-2.50282165;18.0578
-2.49782165;17.98151
-2.49282165;18.0578
-2.48782165;17.98151
-2.48282165;18.0578
-2.47782165;17.98151
