N,T1,T2,dT,T,A
208,"21,3504039625203","21,3543782161954","0,00397425367505322","1,52013945926013","63,3124079072285"
209,"22,1133517155836","22,1173335121273","0,00398179654368997","1,52590304899512","63,0727649001965"
210,"22,8721626242478","22,8761553160462","0,0039926917983875","1,51763271258318","62,7290087248261"
211,"23,6338817278198","23,6378828005833","0,00400107276353945","1,52344658810909","62,4664896207621"
212,"24,3914782346335","24,3954893645552","0,00401112992172179","1,51520307078563","62,1536362412378"
213,"0,866060443520676","0,872363767411455","0,00630332389077926","7152,14570391726","25,1686981879979"
214,"1,56590790995491","1,57221961481084","0,00631170485593121","1,39970331383362","25,1019023092988"
215,"2,260066377244","2,26638813925812","0,00632176201411355","1,38832699173637","25,0220976630885"
216,"2,95971353861111","2,96604619587992","0,00633265726881108","1,3993052179889","24,9360713413956"
217,"3,65364404364807","3,65998591997854","0,00634187633047822","1,38787022913559","24,8636258769267"
218,"4,35309257614107","4,35944534772624","0,00635277158517575","1,3989079602407","24,7784148049652"
219,"5,04679344273287","5,05315710957274","0,00636366683987328","1,38741262843829","24,6936410286884"
220,"5,74603245109707","5,75240533699861","0,00637288590154042","1,39848723579007","24,6222487140271"
221,"6,43950535543673","6,44588746039994","0,00638210496320756","1,38695502774099","24,5511655581801"
222,"7,1385272968035","7,14492113511792","0,00639383831442029","1,39805561608475","24,4611404066768"
223,"7,83176637221543","7,83817026768803","0,00640389547260263","1,38648820798203","24,3843695151147"
224,"8,53058549422551","8,53699777066327","0,00641227643775457","1,39764662498533","24,3206695174627"
225,"9,2235907407097","9,23001558859518","0,00642484788548249","1,3860230644161","24,2255865192012"
226,"9,92220117668751","9,92863524363466","0,00643406694714963","1,39723009101728","24,1562129259866"
227,"10,6149860037882","10,6214301278935","0,00644412410533197","1,38557971135956","24,0808719568897"
228,"11,3134061918571","11,3198620493136","0,0064558574565447","1,39685210948893","23,9934187976182"
229,"12,0059781424429","12,0124415427681","0,00646340032518145","1,3851514440403","23,9374502378682"
230,"12,704193834962","12,7106689686384","0,00647513367639417","1,39644311838951","23,8507764946305"
231,"13,3965386613922","13,4030246903233","0,0064860289310917","1,38470054811512","23,7707145552584"
232,"14,0945607536164","14,1010560016091","0,00649524799275885","1,39605340350995","23,7032842855359"
233,"14,7866994083039","14,7932055515513","0,00650614324745638","1,38428820462965","23,6239632276353"
234,"15,4845337669086","15,4910491292177","0,00651536230912352","1,39567793627114","23,5571559866989"
235,"16,1764620593708","16,1829883169346","0,00652625756382105","1,38386748017902","23,4785666970478"
236,"16,8741028176805","16,880639970499","0,00653715281851858","1,39529241187415","23,4003700262985"
237,"17,565829966979","17,5723763388592","0,00654637188018572","1,38346351765869","23,3345083381601"
238,"18,2632762868972","18,2698327159356","0,00655642903836806","1,39490269699459","23,2629758473332"
239,"18,9547888834878","18,9613570458774","0,00656816238958078","1,38303692653246","23,1799362241735"
240,"19,6520483078831","19,6586256893344","0,00657738145124793","1,39452806785229","23,1150023289078"
241,"20,3433572470206","20,34994468563","0,00658743860943026","1,38262793543304","23,0444760471094"
242,"21,0404272616034","21,0470247573711","0,0065974957676126","1,39415008632394","22,9742720481464"
243,"21,7315325432877","21,73814093431","0,00660839102231013","1,38222145862318","22,8985791295208"
244,"1,23336294607687","1,25453996882281","0,0211770227459394","7158,21247674282","2,22982198882437"
245,"1,91082317839722","1,93202282974907","0,0211996513518497","1,35494309324662","2,22506428476845"
246,"2,56974890628405","2,59096029098711","0,0212113847030624","1,31786318912486","2,22260331956038"
247,"3,24743458656699","3,26866105700733","0,0212264704403359","1,35538644630316","2,21944521609494"
248,"3,90631505724199","3,92755745151612","0,0212423942741246","1,31777686518379","2,21611895921326"
249,"4,5840099565866","4,60526659850148","0,0212566419148829","1,35540404632998","2,21314916885201"
250,"5,24286193198009","5,2641370120183","0,0212750800382172","1,31772238891031","2,20931476401879"
251,"5,92055515513167","5,94184951138973","0,0212943562580667","1,35540572252301","2,20531671298217"
252,"6,57937863524364","6,60069142962504","0,021312794381401","1,31766539834727","2,20150263660092"
253,"7,25708526793946","7,27841063376859","0,0213253658291289","1,35542583683937","2,19890780020528"
254,"7,91588695754203","7,93723159959101","0,0213446420489784","1,317622655425","2,19493795235953"
255,"8,5936069997821","8,61496672756835","0,0213597277862519","1,3554551702174","2,19183860909885"
256,"9,25237600362058","9,27375416953016","0,0213781659095861","1,3175564458003","2,18805942963"
257,"9,93009688395716","9,95149181179705","0,02139492783989","1,35545852260346","2,18463228718522"
258,"10,5888440972862","10,610256625153","0,0214125278667091","1,31751202668499","2,1810424462038"
259,"11,2665666538159","11,2879959436129","0,021429289797013","1,35546187498952","2,17763177008262"
260,"11,9252761528018","11,9467222045291","0,0214460517273169","1,31743575990211","2,17422908804423"
261,"12,6030070902965","12,6244732563402","0,0214661660436816","1,35548198930589","2,17015638664645"
262,"13,2617040178347","13,2831852696156","0,0214812517809551","1,31740894081362","2,16710936557443"
263,"13,9394475267772","13,960946378585","0,0214988518077742","1,3555046179118","2,16356261143496"
264,"14,5981193114199","14,619634925158","0,0215156137380781","1,31736033121574","2,16019283916932"
265,"15,2758720394241","15,2974044150924","0,021532375668382","1,35552221793862","2,15683093346252"
266,"15,9345128144957","15,9560611139979","0,0215482995021707","1,3172974739771","2,1536443871558"
267,"16,6122663805964","16,6338347944149","0,0215684138185353","1,35552724651771","2,14962935984749"
268,"17,2708962604134","17,2924822742587","0,0215860138453544","1,31727735966074","2,14612541409977"
269,"17,9486640741548","17,9702660118339","0,0216019376791431","1,35555155131665","2,14296255444932"
270,"18,6072629444007","18,6288824821066","0,0216195377059622","1,31721534051861","2,13947489000916"
271,"19,2850349486247","19,3066695720679","0,0216346234432357","1,35555909418529","2,13649223552758"
272,"19,9436111902647","19,9652634137347","0,0216522234700548","1,31717008330679","2,13302034838784"
273,"20,6213865468747","20,6430580465646","0,0216714996899043","1,35556998943998","2,12922750675508"
274,"21,2799451884879","21,3016351263011","0,0216899378132386","1,31713572134967","2,12560902954786"
275,"1,18096012336781","1,2259843443571","0,0450242209892891","7159,01961145846","0,493295990165094"
276,"1,86697564491527","1,91203841834426","0,0450627734289881","1,37206959553462","0,492452294699479"
277,"2,51364085888131","2,55872542281969","0,0450845639383831","1,29335221844148","0,491976380453584"
278,"3,20007207630031","3,24518932600278","0,0451172497024757","1,37289512060209","0,491263801601344"
279,"3,84675237600362","3,89188806382943","0,04513568782581","1,29337903752996","0,490862516813747"
280,"4,53303189795337","4,57823547159691","0,0452035736435408","1,37262692971723","0,48938928896667"
281,"5,17916408253575","5,22437268475838","0,045208602222632","1,29226939774384","0,489280424911625"
282,"5,86595735764931","5,911196969443","0,0452396117936942","1,37361755979819","0,488609898550393"
283,"6,5119856182638","6,55726294440068","0,0452773261368779","1,29209423557217","0,487796249502966"
284,"7,19879397911464","7,24409812434","0,0453041452253642","1,37364354079016","0,48721889047735"
285,"7,84478284919291","7,89012722305101","0,0453443738580935","1,29201796878929","0,48635477201219"
286,"8,53162892438693","8,57700430781609","0,0453753834291557","1,3737231599591","0,485690248725846"
287,"9,17759097537672","9,22300742553512","0,0454164501584002","1,29196516870883","0,484812298460772"
288,"9,86446135536968","9,90991468177475","0,0454533264050688","1,37377763623259","0,484025961922063"
289,"10,5103957491745","10,5558926565983","0,0454969074238589","1,29191236862837","0,483099119078993"
290,"11,1973189292479","11,2428527129184","0,0455337836705275","1,3738832363935","0,482316945184599"
291,"1,0749694094772","1,15831978410634","0,0833503746291423","7178,98736485694","0,143941123342321"
292,"1,75539315107528","1,86535644244791","0,109963291372634","1,38746039993966","0,0826998151928823"
293,"2,37377009336395","2,48379037529962","0,110020281935668","1,23681087514038","0,0826141602890549"
294,"3,08859015404214","3,19904708426222","0,110456930220084","1,43007676964079","0,0819622857460697"
295,"3,7052841985283","3,81586768132218","0,110583482793879","1,23351464154612","0,0817747965705121"
296,"4,42132871821519","4,53204462025847","0,110715902043279","1,43222145862318","0,0815793037577066"
297,"5,03792973398817","5,1487478838063","0,110818149818133","1,23330427932081","0,0814288328431005"
298,"5,75411253960006","5,86502204193835","0,110909502338289","1,43245696374394","0,0812947475678406"
299,"6,3705844885097","6,48160294339496","0,111018454885265","1,23305285036625","0,08113526194739"
300,"7,0868502656766","7,19799275884611","0,111142493169513","1,43265559261805","0,0809542643360317"
301,"7,70323170016259","7,81447811729999","0,111246417137398","1,23286679293988","0,0808030835803395"
302,"8,41960894416601","8,53098023768417","0,111371293518162","1,4328793643876","0,0806219823409591"
303,"9,03586550227124","9,14734658643289","0,111481084161652","1,23262290685395","0,0804632615906611"
304,"9,75232487973315","9,86390988786269","0,111585008129536","1,4330226788917","0,0803134535191668"
305,"10,3684934377043","10,4801907507669","0,111697313062572","1,23244942087531","0,0801520340106591"
306,"11,0850324343351","11,1968655190332","0,111833084698034","1,43321376489717","0,0799575340222663"
307,"0,868083608508356","1,05599909485576","0,187915486347408","7178,83643205552","0,0283188005894829"
308,"1,61850014247641","1,80734256356962","0,188842421093213","1,50176000268191","0,0280414767056122"
309,"2,19773127273337","2,38638679830369","0,188655525570325","1,15827536499103","0,0280970639713708"
310,"2,95090514423641","3,1399118322466","0,189006688010191","1,50669890544595","0,0279927558344329"
