date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-02-27, 15:39:08	1500 Hz	14 W	2,6E-5 mbar	1E-4 mbar
2020-02-27, 15:39:10	1500 Hz	14 W	2,6E-5 mbar	1E-4 mbar
2020-02-27, 15:39:12	1500 Hz	14 W	2,6E-5 mbar	1E-4 mbar
2020-02-27, 15:39:14	1500 Hz	13 W	2,5E-5 mbar	1E-4 mbar
2020-02-27, 15:39:16	1500 Hz	13 W	2,5E-5 mbar	1E-4 mbar
2020-02-27, 15:39:18	1500 Hz	13 W	2,5E-5 mbar	1E-4 mbar
2020-02-27, 15:39:20	1500 Hz	14 W	2,5E-5 mbar	1E-4 mbar
2020-02-27, 15:39:22	1500 Hz	14 W	2,4E-5 mbar	1E-4 mbar
2020-02-27, 15:39:24	1500 Hz	14 W	2,6E-5 mbar	1E-4 mbar
2020-02-27, 15:39:26	1500 Hz	13 W	2,5E-5 mbar	1E-4 mbar
2020-02-27, 15:39:28	1500 Hz	14 W	2,5E-5 mbar	1E-4 mbar
2020-02-27, 15:39:30	1500 Hz	13 W	2,5E-5 mbar	1E-4 mbar
2020-02-27, 15:39:32	1500 Hz	14 W	2,4E-5 mbar	1E-4 mbar
2020-02-27, 15:39:34	1500 Hz	14 W	2,4E-5 mbar	1E-4 mbar
2020-02-27, 15:39:36	1500 Hz	14 W	2,4E-5 mbar	1E-4 mbar
2020-02-27, 15:39:38	1500 Hz	14 W	2,3E-5 mbar	1E-4 mbar
2020-02-27, 15:39:40	1500 Hz	13 W	2,3E-5 mbar	1E-4 mbar
2020-02-27, 15:39:42	1500 Hz	13 W	2,3E-5 mbar	1E-4 mbar
2020-02-27, 15:39:44	1500 Hz	13 W	2,3E-5 mbar	1E-4 mbar
2020-02-27, 15:39:46	1500 Hz	14 W	2,2E-5 mbar	1E-4 mbar
2020-02-27, 15:39:48	1500 Hz	14 W	2,2E-5 mbar	1E-4 mbar
2020-02-27, 15:39:50	1500 Hz	14 W	2,2E-5 mbar	1E-4 mbar
2020-02-27, 15:39:52	1500 Hz	13 W	2,2E-5 mbar	1E-4 mbar
2020-02-27, 15:39:54	1500 Hz	14 W	2,1E-5 mbar	1E-4 mbar
2020-02-27, 15:39:56	1500 Hz	13 W	2,1E-5 mbar	1E-4 mbar
2020-02-27, 15:39:58	1500 Hz	14 W	2,1E-5 mbar	1E-4 mbar
2020-02-27, 15:40:00	1500 Hz	14 W	2,1E-5 mbar	1E-4 mbar
2020-02-27, 15:40:02	1500 Hz	14 W	2E-5 mbar	1E-4 mbar
2020-02-27, 15:40:04	1500 Hz	13 W	2E-5 mbar	1E-4 mbar
2020-02-27, 15:40:06	1500 Hz	14 W	2E-5 mbar	1E-4 mbar
2020-02-27, 15:40:08	1500 Hz	13 W	2E-5 mbar	1E-4 mbar
2020-02-27, 15:40:10	1500 Hz	14 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:12	1500 Hz	14 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:14	1500 Hz	14 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:16	1500 Hz	14 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:18	1500 Hz	14 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:20	1500 Hz	13 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:22	1500 Hz	13 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:24	1500 Hz	14 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:26	1500 Hz	14 W	1,9E-5 mbar	1E-4 mbar
2020-02-27, 15:40:28	1500 Hz	14 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:30	1500 Hz	14 W	1,8E-5 mbar	1E-4 mbar
