us;mV
-4.94630208;209.1281
-4.94130208;208.1057
-4.93630208;209.1281
-4.93130208;208.1057
-4.92630208;204.5808
-4.92130208;208.1057
-4.91630208;209.1281
-4.91130208;208.1057
-4.90630208;204.5808
-4.90130208;208.1057
-4.89630208;204.5808
-4.89130208;203.5737
-4.88630208;200.0488
-4.88130208;203.5737
-4.87630208;204.5808
-4.87130208;203.5737
-4.86630208;200.0488
-4.86130208;203.5737
-4.85630208;200.0488
-4.85130208;199.057
-4.84630208;204.5808
-4.84130208;199.057
-4.83630208;200.0488
-4.83130208;199.057
-4.82630208;200.0488
-4.82130208;199.057
-4.81630208;195.5168
-4.81130208;199.057
-4.80630208;200.0488
-4.80130208;199.057
-4.79630208;200.0488
-4.79130208;199.057
-4.78630208;195.5168
-4.78130208;199.057
-4.77630208;195.5168
-4.77130208;199.057
-4.76630208;195.5168
-4.76130208;194.525
-4.75630208;195.5168
-4.75130208;199.057
-4.74630208;195.5168
-4.74130208;194.525
-4.73630208;195.5168
-4.73130208;194.525
-4.72630208;195.5168
-4.72130208;190.0082
-4.71630208;195.5168
-4.71130208;190.0082
-4.70630208;195.5168
-4.70130208;190.0082
-4.69630208;195.5168
-4.69130208;190.0082
-4.68630208;190.9848
-4.68130208;190.0082
-4.67630208;190.9848
-4.67130208;190.0082
-4.66630208;190.9848
-4.66130208;190.0082
-4.65630208;190.9848
-4.65130208;190.0082
-4.64630208;190.9848
-4.64130208;190.0082
-4.63630208;190.9848
-4.63130208;190.0082
-4.62630208;186.4528
-4.62130208;190.0082
-4.61630208;186.4528
-4.61130208;185.4762
-4.60630208;186.4528
-4.60130208;190.0082
-4.59630208;186.4528
-4.59130208;185.4762
-4.58630208;186.4528
-4.58130208;185.4762
-4.57630208;186.4528
-4.57130208;185.4762
-4.56630208;186.4528
-4.56130208;185.4762
-4.55630208;186.4528
-4.55130208;180.9442
-4.54630208;181.9208
-4.54130208;180.9442
-4.53630208;186.4528
-4.53130208;180.9442
-4.52630208;177.3888
-4.52130208;180.9442
-4.51630208;177.3888
-4.51130208;180.9442
-4.50630208;177.3888
-4.50130208;180.9442
-4.49630208;177.3888
-4.49130208;180.9442
-4.48630208;177.3888
-4.48130208;180.9442
-4.47630208;177.3888
-4.47130208;180.9442
-4.46630208;177.3888
-4.46130208;176.4275
-4.45630208;177.3888
-4.45130208;180.9442
-4.44630208;177.3888
-4.44130208;176.4275
-4.43630208;177.3888
-4.43130208;176.4275
-4.42630208;177.3888
-4.42130208;176.4275
-4.41630208;177.3888
-4.41130208;176.4275
-4.40630208;172.8416
-4.40130209;171.8955
-4.39630209;172.8416
-4.39130209;176.4275
-4.38630209;172.8416
-4.38130209;171.8955
-4.37630209;172.8416
-4.37130209;171.8955
-4.36630209;172.8416
-4.36130209;171.8955
-4.35630209;172.8416
-4.35130209;171.8955
-4.34630209;172.8416
-4.34130209;171.8955
-4.33630209;172.8416
-4.33130209;171.8955
