01.01.2007   N1106
Образец: "W"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   3029    67,3    1515     0,0
   3034    67,3    1518    67,3
   3039     0,0    1520    33,6
   3044    67,3    1522     168
   3049    33,6    1525    33,6
   3054     0,0    1528     0,0
   3059    33,6    1530    33,6
   3064     0,0    1533    67,3
   3069     0,0    1535    67,3
   3074     0,0    1538    67,3
   3079     0,0    1540     135
   3084     0,0    1543    67,3
   3089     0,0    1545     0,0
   3094    67,3    1548    67,3
   3099     0,0    1550     135
   3104     0,0    1553     135
   3109     0,0    1555    67,3
   3114    33,6    1558    67,3
   3119    67,3    1560    33,6
   3124     0,0    1563    67,3
   3129     0,0    1565    33,6
   3134     0,0    1568    67,3
   3139     0,0    1570    67,3
   3144     0,0    1573     0,0
   3149    33,6    1575    33,6
