01.01.2007   N1106
Образец: "gold"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   3004    33,6    1502    33,6
   3009     0,0    1505     0,0
   3014     0,0    1508    67,3
   3019     0,0    1510    33,6
   3024     0,0    1512     0,0
   3029     0,0    1515     0,0
   3034     135    1518    67,3
   3039     0,0    1520    67,3
   3044     0,0    1522     0,0
   3049    33,6    1525    67,3
   3054     0,0    1528     0,0
   3059    33,6    1530    33,6
   3064     0,0    1533     101
   3069     0,0    1535     168
   3074    67,3    1538    1379
   3079     202    1540    2489
   3084     135    1543    1614
   3089    67,3    1545     875
   3094    33,6    1548     202
   3099    33,6    1550     135
   3104     0,0    1553    67,3
   3109     0,0    1555     0,0
   3114    67,3    1558     101
   3119     0,0    1560    33,6
   3124     0,0    1563     0,0
   3129     0,0    1565    67,3
   3134     0,0    1568     0,0
   3139    33,6    1570    33,6
   3144     0,0    1573     0,0
   3149    33,6    1575     0,0
